지정 닉네임 (Assigned Nickname),[그림에서 역동성이 느껴지게 하는 다양한 요소를 언급해주셨습니다. 각 시각 요소가 '역동적이라는 정도를 파악하는데' 에 얼마나 기여를 한다고 생각 하는지 응답해주세요.] 그림 속 인물의 동작/포즈 (People's actions/poses),[그림에서 역동성이 느껴지게 하는 다양한 요소를 언급해주셨습니다. 각 시각 요소가 '역동적이라는 정도를 파악하는데' 에 얼마나 기여를 한다고 생각 하는지 응답해주세요.] 전반적인 색체 (Overall Color),[그림에서 역동성이 느껴지게 하는 다양한 요소를 언급해주셨습니다. 각 시각 요소가 '역동적이라는 정도를 파악하는데' 에 얼마나 기여를 한다고 생각 하는지 응답해주세요.] 전반적인 밝기 (Overall Lightness),[그림에서 역동성이 느껴지게 하는 다양한 요소를 언급해주셨습니다. 각 시각 요소가 '역동적이라는 정도를 파악하는데' 에 얼마나 기여를 한다고 생각 하는지 응답해주세요.] 그림의 붓터치의 굵기 (Brush Stroke),"[그림에서 역동성이 느껴지게 하는 다양한 요소를 언급해주셨습니다. 각 시각 요소가 '역동적이라는 정도를 파악하는데' 에 얼마나 기여를 한다고 생각 하는지 응답해주세요.] 그림 스타일 [예: 추상화, 사실주의 등](Artwork Styles [e.g., Realism, Impressionism, Abstract])","위 2번 질문에서 언급되지는 않았으나, '그림의 역동성인 정도'에 영향을 미치는 주요한 다른 시각요소가 있다고 생각하면 적어주시고, 그 영향력을 표기해주세요.",[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,[만약 '그림 속 사람의 포즈 ,"이 자세/포즈에서 느껴지는 ‘역동적인 느낌 (다이나믹한 정도) ' 는 어느정인가요? Clarify the perceived level of ""dynamic feeling"" in this picture.","이 자세/포즈에서 느껴지는 ‘역동적인 느낌 (다이나믹한 정도) ' 는 어느정인가요? Clarify the perceived level of ""dynamic feeling"" in this picture.","위의 두가지 그림에 보이는 자세는 차이가 있지만, 전체 뼈대 구성은 비슷하다고 볼 수 있습니다 (상하체 90도). 만약 두 그림 사이에 역동성의 정도가 다르다고 느꼈다면 왜 그런가요? 만약 두 그림 사이에 역동성의 정도가 같다고 느꼈다면 왜 그런가요?","그림을 잘 표현하는 음악이 생성된다고 했을 때, 그림에서 느껴지는 '역동성 정도 (sense of movement)'가 표현되는것이 얼마나 중요하다고 생각하시나요? When it is said that music is created to well represent an artwork, how important do you think the expression of 'sense of movement' felt in the artwork is?",,,
나비,매우 큰 영향(very huge),보통 (moderate),큰 영향 (huge),작은 영향 (minor),매우 작은 영향(very minor),하늘에 구름의 양,매우 큰 영향(very huge),매우 큰 영향(very huge),보통 (moderate),매우 큰 영향(very huge),매우 큰 영향(very huge),보통 (moderate),매우 작은 영향(very minor),매우 작은 영향(very minor),매우 작은 영향(very minor),큰 영향 (huge),1,5,B가 상대적으로 힘들어보여서!,5,,,
rub,매우 큰 영향(very huge),큰 영향 (huge),큰 영향 (huge),보통 (moderate),보통 (moderate),the style of painting regarding to cultural bg ( ex. flamingo) - very huge,큰 영향 (huge),매우 큰 영향(very huge),큰 영향 (huge),보통 (moderate),큰 영향 (huge),매우 큰 영향(very huge),작은 영향 (minor),작은 영향 (minor),보통 (moderate),큰 영향 (huge),2,5,mainly because of the actions of the people,4,,,
Daisy,매우 큰 영향(very huge),매우 큰 영향(very huge),큰 영향 (huge),작은 영향 (minor),큰 영향 (huge),Definition of the painting (due to the drawing styles) - moderate,매우 큰 영향(very huge),보통 (moderate),큰 영향 (huge),작은 영향 (minor),보통 (moderate),큰 영향 (huge),보통 (moderate),보통 (moderate),작은 영향 (minor),보통 (moderate),5,6,"I think I rated the dynamic level differently because in Artwork A, the human is sleeping (that is, the facial expression is indeed important), and I suppose he cannot move temporarily. For Artwork B, the human is standing and doing some farming work, so she is active momentarily. I could have given Artwork B a higher score of of “dynamic feeling,” but the color is too dark and gloomy, and it’s also grainy.",4,,,
Doky,매우 큰 영향(very huge),큰 영향 (huge),큰 영향 (huge),작은 영향 (minor),큰 영향 (huge),"인물의 표정, 주변 풍경, 상황적 유추",큰 영향 (huge),큰 영향 (huge),보통 (moderate),보통 (moderate),매우 큰 영향(very huge),큰 영향 (huge),작은 영향 (minor),보통 (moderate),매우 큰 영향(very huge),큰 영향 (huge),0,2,크게 역동성의 정도가 다르다고 느끼지는 않음. 그림 A는 행동이 일단 자고 있는 것이기 때문에 역동성이 거의 없다고 느꼈지만 그림B도 무언가를 줍고 있는 잔잔하고 차분한 행동이므로 비슷한 정도의 차이라고 느낌. ,4,,,
chanpig,큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),곡선과 직선,큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),작은 영향 (minor),작은 영향 (minor),큰 영향 (huge),큰 영향 (huge),3,8,잠을 잘때는 미동이 거의 없고 일을 하기위해 숙이면 계속 똑가툰ㄴ 자세와 행동이 반복되는게 상상이감 ,4,,,
곤듀,매우 큰 영향(very huge),큰 영향 (huge),보통 (moderate),큰 영향 (huge),큰 영향 (huge),,큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),매우 큰 영향(very huge),작은 영향 (minor),큰 영향 (huge),작은 영향 (minor),큰 영향 (huge),1,7,"그림 A는 휴식, 잠 등과 같은 신체의 멈춤, 그림 B는 일하는 등의 신체의 활동을 연상케함. 여기서 1차적으로 역동적 느낌의 유무가 구분되고, 신체의 각도, 표정 등에서 그 정도의 차이가 발생하는 것으로 생각됨.",4,,,
이인애,매우 큰 영향(very huge),큰 영향 (huge),보통 (moderate),큰 영향 (huge),큰 영향 (huge),선의표현 - 영향있음,큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),보통 (moderate),보통 (moderate),큰 영향 (huge),작은 영향 (minor),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),2,6,느껴지는 힘듦,4,,,
고고,매우 큰 영향(very huge),보통 (moderate),보통 (moderate),보통 (moderate),보통 (moderate),-,매우 큰 영향(very huge),매우 큰 영향(very huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),매우 큰 영향(very huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),보통 (moderate),1,7,"자는 모습과 일하는 모습, 행동이 다름",3,,,
경,매우 큰 영향(very huge),보통 (moderate),보통 (moderate),보통 (moderate),작은 영향 (minor),"파도나 구름, 풀 등 배경 요소",매우 큰 영향(very huge),매우 큰 영향(very huge),매우 큰 영향(very huge),큰 영향 (huge),큰 영향 (huge),큰 영향 (huge),보통 (moderate),매우 큰 영향(very huge),작은 영향 (minor),보통 (moderate),0,6,인물이 무엇을 하고 있는지에 따라 이후의 장면을 상상할 수 있어서 역동성이 다르게 느껴지는 것 같음.,5,,,
yoni,매우 큰 영향(very huge),큰 영향 (huge),보통 (moderate),큰 영향 (huge),매우 작은 영향(very minor),,큰 영향 (huge),매우 큰 영향(very huge),매우 큰 영향(very huge),보통 (moderate),큰 영향 (huge),큰 영향 (huge),작은 영향 (minor),작은 영향 (minor),큰 영향 (huge),매우 큰 영향(very huge),2,5,인물이 그 자세를 취하기 위해 들이는 힘의 차이,3,,,
