,Unnamed: 0,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
570,0,나비,A1,running,8.0,"[0, 0, 0, 0]","[1, 1, 0, 1]","[1, 1, 0, 1]","[0, 0, 0, 0]",뛰어다닌는듯한 동작 -- 액션을 일부러 취하는 행동 ~ 움직임이 많음 + 파도의 모양,9.0,9,7.0,6,9.0,9,
571,1,rub,A1,running,9.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 0]",The waves and the running legs are really dynamic,8.0,5 |  I think for me in general sunset ( or sunrise) + waves make me feel relaxing,4.0,4 |  Should be a pith that makes people feel comfortable,6.0,"6 |  even it should be relaxing for be based on the reasons above, but the kids also make me feel like it should be not ""quiet""",
572,2,Daisy,A1,running,9.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",There are three people running at the center of the picture. The waves and clouds should be moving.,6.0,"5 |  The beach looks peaceful to me. Also, for the people who can enjoy playing and swimming at the beach at sunset, the overall atmosphere is supposed to be calming.",7.0,"7 |  People are having fun, and the color scheme of the overall painting is warm.",5.0,5 |  The scene looks peaceful and calming.,
573,3,Doky,A1,running,8.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 0, 1]","[0, 0, 0, 0]",어린 아이들의 천진난만함(뛰어다니는 움직임)과 바닷가의 파도가 역동적인 움직임을 연상케 함. ,5.0,5 |  너무 빠르지도 않고 느리지도 않은 템포가 어울릴 것 같음. 풍경적으로도 그렇고 평화롭고 순진한 아이들이 장난치며 뛰어다니는 보통의 템포가 연상됨.,3.0,3 |  그림의 색채가 해가 지고 있을 때로 보여 비교적 어두움. 따라서 음악의 높낮이도 너무 밝은 것보다 잔잔하게 낮은 높낮이가 어울릴 것 같음.,1.0,1 |  아이들이 지는 석양 아래에서 뛰어가는 평화로운 느낌이기 때문에 음악의 밀도는 자연스럽게 낮은 것이 어울릴 것 같음.,
574,4,chanpig,A1,running,8.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",달리면서 옷이 날리고 파도가 치는것,7.0,7 |  달리면 좀 빨라야할것만같은 느낌,7.0,7 |  신나보임,6.0,6 |  아이들이라 그렇게 무겁지않은 느낌,
575,5,곤듀,A1,running,7.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","사람들의 시선, 몸의 방향과 파도에서 역동성이 느껴지나 노을과 같은 색감으로 하늘을 표현한 부분에서 다소 차분함이 뭍어남",8.0,"8 |  그림은 석양이 드리운 해변에서 아이들이 즐겁게 뛰어노는 장면이 연상 됨.  샘플상의 보통, 매우빠름은 확실히 아니며, 보통 - 매우빠름 사이에서 빠름쪽에 조금더 치우친 템포가 어울리다고 생각함",8.0,8 |  그림에서 아이들이 뛰어노는 장면이 눈에 가장 먼저 들어오기 때문에 다소 높은 피치가 어울리다고 생각됨,7.0,"7 |  여전히 메인은 아이들임. 샘플의 매우 높은 밀도는 확실히 아니며, 보통 - 매우 높은 밀도 사이에서 보통에 조금더 치우친 음의 밀도가 어울린다고 생각함",
576,6,이인애,A1,running,9.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",짙은색감 흔들림의표현,8.0,8,7.0,7,5.0,5,
577,7,고고,A1,running,7.0,"[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]",달리는모습,7.0,7,7.0,7,7.0,7,
578,8,경,A1,running,9.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",달리는 아이들의 움직임과 파도의 움직임이 잘 느껴짐.,9.0,10 |  달리는 아이들의 가벼운 움직임과 밝은 분위기를 잘 드러냄.,6.0,"6 |  샘플에서 보통의 음높이가 충분히 높다고 느껴짐, 밝은 분위기와 아이들의 가벼운 움직임이 잘 드러남.",6.0,6 |  아이들의 순수함과 맑은 분위기를 잘 드러냄. 복잡하지 않은 움직임을 잘 드러냄.,
579,9,yoni,A1,running,8.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","색감, 인물의 자세",5.0,5 |  인물들의 자세 및 움직임은 활동적이지만 배경의 느낌이(색감) 차분하기에 중간,7.0,7 |  인물의 전체적인 모습이 웃고있는것으로 느껴짐,7.0,7 |  뛰고있다는 느낌이라서,
580,10,밍경댕,A1,running,10.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",아이들의 뛰는 모습과 웃는 얼굴 또 앞에 달리는 아이의 시선이 역동적으로 느껴지게 만듬.,8.0,2 |  급박한 움직임이 아니라 평화로운 움직임으로 보여 차분한 음악이 더 잘 어울릴 것으로 예상됨.,7.0,7 |  아이들의 천진난만함을 표현하기 위해 좀 높은 음의 음악이 그려짐,2.0,2 |  아이라는 속성이 밀도가 낮음과 가깝다고 생각해 낮음 음의 음악이 잘 어울림.,
581,11,배뀽,A1,running,7.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 0, 1]","[0, 1, 0, 0]",사람이 뛰고 있음 ,5.0,5 |  일상적인 느낌,8.0,8 |  어린 애들이 있어서 활발한 느낌,5.0,5 |  일상의 여유로움,
582,12,미지,A1,running,8.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",거친 파도와 달리는 아이들의 모습이 역동적인 느낌을 줌,7.0,7 | 파도가 밀려오는 속도만큼의 빠르기가 어울린다고 생각함 파도가 여러겹으로 연속적으로 치고있는 것으로 보이므로 약간 빠른 템포,6.0,5 | 무거운 파도소리와 가벼운 아이들의 소리가 합쳐진 보통의 높이,9.0,"9 | 연속적인 파도소리와 아이들의 뛰는소리, 웃음소리 등이 밀도높은 음악으로 표현될 수 있음",
583,13,boldmas,A1,running,9.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",The children running as well as the sea waves.,7.0,"4 | To represent a lively, yet, peaceful feeling.",5.0,"5 | There seems to be a balance between the running children and the waves plus the darker shades of the sunset. There seems to be a bittersweet, nostalgic feeling.",1.0,"1 | This is a very happy, yet relaxing moment that is about to end by nightfall. The day is about to end and the sparse music represent relaxation and sleep after a day of playfulness.",
584,14,Seong Ho,A1,running,9.0,"[0,0,0,0]","[0,1,1,0]","[1,1,1,1]","[0,0,0,0]","달리는 아이들, 거센 파도",8.0,  달리는 느낌을 표현 담을 수 있어서,4.0,  평온한 느낌이 들었으면 함. 높으면 정신 사나움.,10.0,  달리는 아이와 파도가 같이 빠르게 표현되려면 Density 가 높아야 할 것 같음.,따뜻함.
585,15,5e67524094c67a000a04ca8e,A1,running,8.0,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[0,0,0,0]",That is what my eyes were drawn to immediately ,6.0,"  I feel like this photo has some decent movement in it so the music can't be very slow, but it also doesn't look like a fast paced piece either. ",3.0,  Again I feel a moderate/calming nature of this artwork but slightly to the calmer side which would have lower tones. ,4.0,  The same moderate feel as the previous questions. ,Genre possibly
586,16,6400dc9af341e8a575a457f6,A1,running,7.0,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[1,0,0,0]",these sections indicate movement in the picture,7.0,,8.0,,6.0,,
587,17,5e4875f3110b3730eefa32a1,A1,running,6.0,"[0,0,0,0]","[0,0,0,0]","[0,0,0,1]","[0,0,0,0]",It is rather dynamic to have a nude person on the beach where other people are fully clothed,3.0,  It would complement the artwork better,5.0,,5.0,,
588,18,5e909d9ac9ce2503b2650797,A1,running,6.0,"[0,0,0,0]","[0,0,1,0]","[1,1,0,1]","[0,0,0,0]",because they have the most movement,5.0,  because they are gently playing,4.0,,3.0,,
589,19,5fc00a11268eb941e7d8b066,A1,running,7.0,"[0,0,0,0]","[0,0,0,0]","[0,0,0,1]","[0,0,0,0]","Because the boy is running naked, which piques the viewer's intrigue because it's a public place and you don't expect that.",7.0,  Because they're running frantically.,6.0,,3.0,,
590,20,5b295f60bbd4880001117976,A1,running,7.0,"[0,0,0,0]","[0,0,1,0]","[0,1,0,1]","[0,0,0,0]",There are action figures and the sea is moving,4.0,  Most of the picture is actually quite peaceful with sand and sea.,3.0,,4.0,,
591,21,630100561dc47fd83f5b4745,A1,running,8.0,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[0,0,0,0]",The sea and the kids running happily. ,5.0,,2.0,,8.0,,I expect the music to be upbeat and happy. 
592,22,5f7959d0b6791155e6932dd1,A1,running,6.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,1]","[0,0,0,0]","The flow of the children's clothes plus the contrast of the bare skin, for me, impacted on the dynamism in the picture. It is what draw my eyes initially and made the picture interesting.",6.0,  The running makes me think that accompanying music will also have a faster pace to match it.,7.0,  Children generally have a higher pitch so i would expect the accopanying music to match that.,3.0,  The picture has a lightness to it and so I think the music should also we light.,"As there are a number of children in this picture, I would think that the music should also have a number of instruments to portray this."
593,23,5967e9a831394d0001abdb3f,A1,running,9.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,1]","[0,0,0,0]","The figures are shown as moving figures, which enhances the dynamics and make it feel like the picture is real",9.0,"  The children are at a slow running speed, so don't need anything too fast or dramatic",4.0,,4.0,  It's a light piece of artwork,
594,24,657421f9661ce9a8cd7482d1,A1,running,9.0,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",The beauty of the art piece is found in this region ,8.0,"  A slow, quiet classical music is perfect for the art work as if there is a cool breeze",5.0,  Moderate music density is perfect,5.0,,
595,25,5e56590389b924000c184113,A1,running,8.0,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[0,0,0,0]",The sense of movement and motion.,7.0,,5.0,,7.0,,"A sense of movement, of the waves rolling and of running."
596,26,65c4bfbc22bc351322c66e32,A1,running,8.0,"[0,1,0,0]","[0,0,1,0]","[0,0,0,1]","[0,1,0,0]",I feel they stand out in an astonishing style,7.0,,3.0,,5.0,,
597,27,63f77942d3cad20e65a411a9,A1,running,8.0,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[0,0,0,0]","it seems like the entire picture is dynamic except the bottom row, as the sand is static",5.0,  to match the sound of the waves,7.0,,5.0,,
598,28,5c584d2040378900013b6fb9,A1,running,8.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,1]","[0,0,0,0]",They show kids freely and energetically running. The background shows a wave which is also energetic.,7.0,  Its fun and they are running and playing. ,6.0,"  Slightly higher as its quite a free, happy scene",7.0,  They are running and waves are crashing. This needs more dense sound.,
599,29,613e454dca2db9fcef1f8e8d,A1,running,9.0,"[0,0,0,0]","[0,0,1,0]","[1,1,1,0]","[0,0,0,0]",Movement of waves crashing and children running,7.0,  becauase there is a lot of movement but it is playful rather than intense,6.0,  To convey a sense of fun,4.0,"  Not too dense as there is a playfulness to it, but enough to convey the layers of a movement",Gentle rhythmic crashing for the waves and a sound that represents children's laughter.
60,0,나비,A10,fight,10.0,"[1, 1, 0, 0]","[0, 1, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]",엄청나게 큰 다리의 움직임. 흔들리고있는 전등 (휘청휘청),10.0,10,3.0,3 |  싸우고있는 엄중한 느낌 -- 낮은 음이어울려보임 / 미스테리~~,9.0,9,
61,1,rub,A10,fight,10.0,"[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",I can see their muscles exerted,8.0,"3 |  I don't think they are in a heated fight, more like a standoff ？",2.0,2 |  Low pitches sounds more masculine,2.0,"2 |  the yellow light makes it more mysterious, I will actually assume it's a secret fight in a closed bar or something instead of a public fights that wants everyone to see",
62,2,Daisy,A10,fight,9.0,"[0, 1, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 1]","There are two people fighting, and there is a lamp on the wall which is tilted.",9.0,9 |  The fighting scene looks intense.,7.0,7 |  I think the intensity comes with the high pitch.,8.0,8 |  The intensity comes with the density in the sound too.,
63,3,Doky,A10,fight,8.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",건장한 인물의 큰 움직임과 긴장감 넘치는 상황적 묘사,8.0,8 |  긴박함을 잘 표현하는 빠른 템포가 어울림.,3.0,3 |  색채가 어둡고 상황적으로도 심오하고 어두운 느낌이기 때문에 비교적 낮은 핏치의 음이 어울림.,7.0,7 |  긴박하고 긴장감 넘치는 상황을 강조하기 위하여 밀도는 높은 것이 어울릴 것 같음.,
64,4,chanpig,A10,fight,8.0,"[1, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 1, 1]","[1, 1, 0, 1]",전등이 흔들릴정도로 싸우는 느낌,8.0,8 |  전등이 흔들리고 서로가 엉켜서 싸워서,3.0,3 |  색감도 착하고 싸움이 주는 긴장되는느낌,3.0,3 |  모든게 부서져있고 묵직한 느낌,
65,5,곤듀,A10,fight,10.0,"[0, 1, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","인물들이 엉켜서 몸싸움하고 있는 모습, 주변 사물들의 흐트러짐 등 전체적으로 매우 역동적임이 느껴짐",9.0,10 |  그림에서 느껴지는 긴장감에 당연히 매우 빠른 템포가 어울린다고 생각함,0.0,"0 |  그림에서 느껴지는 역동적, 긴장감에 따라 낮은 음이 어울리다고 생각함",1.0,10 |  인물들에게서 느껴지는 긴장감 무거운 공기 흐름에 맞춰 음의 밀도 또한 높은 밀도로 표현하는 것이 어울리다고 생각함,
66,6,이인애,A10,fight,9.0,"[0, 1, 0, 0]","[0, 1, 1, 0]","[1, 0, 0, 1]","[1, 0, 0, 0]",색감 흐트러진 구성,8.0,8,3.0,3,8.0,8,
67,7,고고,A10,fight,9.0,"[0, 1, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 0, 0]",싸우는 모습,8.0,8,8.0,8,8.0,8,
68,8,경,A10,fight,9.0,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 1, 1]","[0, 0, 1, 0]",힘을 쓰고 있는 자세를 통해 서로 대치하는 역동성을 느낄 수 있음.,9.0,9 |  서로 대치하는 장면에서의 긴장된 분위기와 역동성을 잘 드러냄.,5.0,"5 |  나른하지 않고, 밝지 않은 긴박한 분위기의 역동성을 적당히 잘 드러냄.",7.0,7 |  밝지 않은 분위기의 역동성을 적당히 잘 드러냄.,
69,9,yoni,A10,fight,8.0,"[0, 1, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]", 손에 들린 무기 서로 힘주고 밀고있는듯한 자세,7.0,3,3.0,3,2.0,2,
70,10,밍경댕,A10,fight,10.0,"[0, 1, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","흔들리는 풍등 , 부러진 유리창, 손에 들고있는 날카로운 무기, 부서진 의자, 역동적인 자세",9.0,10 |  누군가는 죽는 이 상황을 표현하기에 빠른 음악이 잘 어울릴듯,1.0,1 |  무거운 덩치 큰 두 남자의 목숨을 건 혈투엔 낮은 음이 잘 어울릴듯,3.0,3 |  긴박함을 표현할 때 낮은 밀도로 빠르게 표현하는 게 더 극적인 표현처럼 상상이 됨.,
71,11,배뀽,A10,fight,10.0,"[1, 1, 1, 0]","[1, 1, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","사람이 싸우고 있고 표정이 화가 나잇음, 전등도 흔들림, 배경질감도 격함 ",9.0,10 |  싸움은 빠르게 진행되는게 좋음,2.0,"2 |  어두운, 심각한 분위기를 주고 싶음",5.0,5 |  템포가 빨라서 밀도는 낮게해서 흐름을 조절하는 것이 좋을 듯 함,
72,12,미지,A10,fight,10.0,"[0, 1, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 1]","[1, 0, 0, 1]",얼핏 봤을때 역동적으로 느껴지지 않았으나 손에 칼을 봤을때 싸우고 있는 장면으로 생각되어 매우 역동적으로 느껴짐,10.0,10 | 급박한 분위기에 맞는 빠른 음악,3.0,3 | 가볍지않은 낮은 음의 음악이 어울림,9.0,9 | 격투하며 주변의 물건들이 흐트러지는 소리를 밀도높은 음악으로 표현 가능,
73,13,boldmas,A10,fight,10.0,"[1, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",That is where majority of the movements are taking place.,10.0,10 |  The scene seems to be very tense and a crime is about to take place and tension is building.,1.0,1 |  it matches the very dark and somber setting of the painting along with the tense action that results in a sad ending. Lower pitch seems to be fitting.,1.0,10 |  The scene is very tense and a struggle seems to be happening. The furniture is being thrown around. So much is happening all at the same time.,
74,14,Seong Ho,A10,fight,10.0,"[0,1,0,0]","[0,1,1,0]","[0,1,1,0]","[1,0,0,1]","죽일 듯이 싸우는 남자 둘, 흔들리는 랜턴이 역동적임.",8.0,  긴장감 있게 빨랐으면 함.,3.0,  남성적인 느낌 표현 원함.,10.0,"  널부러진 물체, 날카로운 칼, 힘겨루기 하는 남자들 과 같은 느낌 표현 원함.",위태로움.
75,15,5e67524094c67a000a04ca8e,A10,fight,10.0,"[0,1,1,0]","[0,1,1,0]","[1,1,1,0]","[1,0,0,0]",I see a fight with banging and crashing and wild movement,10.0,,4.0,,5.0,,
76,16,6400dc9af341e8a575a457f6,A10,fight,10.0,"[0,1,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,1]",indicates conflict and action,8.0,,0.0,,7.0,,
77,17,5e4875f3110b3730eefa32a1,A10,fight,10.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",the fight,8.0,,7.0,,9.0,,
78,18,5e909d9ac9ce2503b2650797,A10,fight,10.0,"[0,1,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",the struggle between the two and even the lamp swinging,7.0,,1.0,,8.0,,
79,19,5fc00a11268eb941e7d8b066,A10,fight,8.0,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",The two men are fighting and conveying that emotion on their faces.,9.0,,2.0,,8.0,,
80,20,5b295f60bbd4880001117976,A10,fight,10.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",Movement is fast and passionate with the figures fighting,9.0,,8.0,,8.0,,
81,21,630100561dc47fd83f5b4745,A10,fight,10.0,"[0,1,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,1]",Two men fighting and leaning towards each other representing a lot of motion in a still picture. ,10.0,,10.0,,9.0,,
82,22,5f7959d0b6791155e6932dd1,A10,fight,9.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",The struggle between the two men are what brings dynamism to the picture.,8.0,  The picture is dramatic and violent and so the music should be high tempo'ed to show this.,1.0,  The pitch should be low like the grunt of fighting men.,8.0,  The drama and chaos of the picture is best shown in a dense piece of music.,There should be strong beats and dramatic additions to the music that you would get in a fight.
