,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A12,fight,10,"[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[1, 1, 0, 0]","역동적인 몸의 움직임. 사람의 비중이 커보여서, 상대적으로 큰 자세/역동적 자세에 눈길이 감",1.0,10,3.0,3,1.0,10
1,rub,A12,fight,8,"[1, 1, 1, 0]","[1, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","red for me is a really mad color, and  they seems are punching each others",7.0,7 |  it's a heated argument,3.0,3 |  it's too mad to be high,7.0,"7 |  the movements seems fast, the whole fights looks stressful"
2,Daisy,A12,fight,8,"[0, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 0, 0]",The people in the scene are fighting with each other.,7.0,7 |  The fighting scene should have high tempo.,5.0,"5 |  The pressure of the fight pulls down the pitch, and the dark color scheme adds on that effect.",8.0,8 |  The scene looks intense.
3,Doky,A12,fight,8,"[0, 1, 1, 0]","[0, 1, 1, 1]","[0, 1, 1, 0]","[0, 0, 0, 0]",인물들의 격한 움직임과 상황적인 유추 (싸움).,8.0,8 |  긴장감 넘치는 상황을 극대화하기 위한 빠른 템포.,2.0,2 |  전반적으로 어두운 상황과 어두운 색채로 인한 낮은 핏치의 음악. (충분한 긴장감을 부여한다는 가정하에),8.0,8 |  긴박함을 double up 하기 위한 촘촘한 밀도의 음악
4,chanpig,A12,fight,7,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",몸의 움직임이 보임,8.0,8 |  팔을 뻗은 사람 맞는 사람 말리는사람이 모다 다 다급해보인다 ,3.0,3 |  배경 색감이좀 착하고 남자들의 싸움은 좀 낮은 음일듯,7.0,7 |  남자들이 싸우는 모습과 배경이 주는 느낌? 
5,곤듀,A12,fight,10,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",디테일하고 현실적인 표현의 그림은 아니지만 인물의 행동 배경 화풍 등 모든면이 역동적 느낌을 줌,9.0,9 |  매우 역동적임을 느끼게 하는 그림으로 매우 빠른 템포가 어울릴 것으로 생각됨,0.0,0 |  그림의 색감이 전체적으로 어둡고 무거운 느낌을 받게 함에 따라 매우 낮은 피치의 음이 어울릴 것으로 생각함,9.0,9 |  매우 높은 밀도의 음으로 더욱더 긴장감있고 호소력짙은 표현을 해야한다고 생각함
6,이인애,A12,fight,7,"[0, 1, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",강렬한색감,7.0,7,6.0,6,7.0,7
7,고고,A12,fight,9,"[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 0]",싸우는모습과 말리는 모습,9.0,9,9.0,9,9.0,9
8,경,A12,fight,8,"[0, 0, 0, 0]","[0, 1, 0, 1]","[1, 1, 1, 0]","[1, 1, 0, 0]","다리를 디디는 자세, 다른 사람과의 관계를 통해 역동적인 느낌을 받을 수 있음.",8.0,8 |  빠른 속도의 곡을 통해 사람들의 역동적인 움직임을 잘 드러냄.,2.0,2 |  힘을 주는 듯한 남성적인 움직임에 잘 어울림.,5.0,"5 |  아주 가볍지도, 여유롭지도 않은 움직임에 잘 어울림."
9,yoni,A12,fight,7,"[0, 1, 1, 1]","[0, 0, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",투박한 그림의 질감 ,3.0,3,3.0,3,2.0,2
10,밍경댕,A12,fight,7,"[0, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 0]",사람들의 움직임과 근육이 역동적으로 느껴지고 빨간 배경을 흩뿌려 그린 게 역동적으로 느껴집니다. ,8.0,8 |  빠른 음악으로 힘을 쓰는 느낌이 전달 되었으면 좋겠습니다.,3.0,3 |  남자들의 무거운 힘싸움이 상상이 가게 낮은 음의 음악을 사용하고 싶습니다. ,4.0,4 |  남자들이 힘을 쓰는 모습이기에 조금은 낮은 밀도를 사용하지만 스포츠와 관련된 운동으로 느껴져 긴박함은 느껴지지 않아 너무 낮지 않은 밀도를 선택했습니다.
11,배뀽,A12,fight,10,"[1, 1, 0, 1]","[0, 1, 1, 1]","[0, 1, 1, 1]","[1, 0, 0, 1]","빨간색, 사람이 레슬링하고 있음 화난 얼굴 투지에 가득참",3.0,3 | 약간 슬로우 모션 준 느낌 뚜우우우우우 팍!,2.0,2 | 우울한 싸움의 기술,1.0,10 | 주먹은 눈보다 빠르다
12,미지,A12,fight,8,"[0, 1, 1, 0]","[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]",질감표현과 색대비,3.0,3 | 그림표현의 무게감이 느껴져서,3.0,3 | 거친 표현과 어울림,3.0,3 | 거칠지만 단순한 그림표현이 낮은밀도의 음악과 어울림
13,boldmas,A12,fight,10,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",the entire canvas is filled with movement including the characters and the background (very long brush strokes and the red color),1.0,10 | it is a very tense scene; they seem to be fighting and red portrays anger and violence.,2.0,2 | the imagery is dark and intense. The colors are darker in shade and the characters are in conflict.,1.0,"10 | It is a very complex scene; a combination of three characters in movement, a dark and red background, and many long brush strokes."
