,name,artwork,poseType,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A2,running,8.0,,"[열C] colC,[열D] colD,[열B] colB","[열B] colB,[열C] colC,[열D] colD",[열D] colD,움직임이 활기차보임. 발길질.,8.0,8,7.0,7,9.0,9
1,rub,A2,running,8.0,,"[열B] colB,[열C] colC",[열D] colD,,I think i can hear the laughter of the kids,7.0,7 |  they are stepping on the waves,7.0,7 |  kids don't get alone well with low pitch when they are playing in my opinion,6.0,"6 |  normal, they are not being too naughty playing"
2,Daisy,A2,running,6.0,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","[열D] colD,[열C] colC","There are three kids playing on the beach, and there are waves too.",7.0,"7 |  Since they are kids, they are supposed to be very active with high tempo.",9.0,9 |  Kids are loud and very high-pitched.,7.0,7 |  Kids are playful with a lot of movements.
3,Doky,A2,running,7.0,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD",,아이들의 움직임이라는 것과 바닷물 가운데에서 뛰는 움직임 (물의 튀김)이 역동적 느낌을 강조하는 것처럼 보여짐. ,6.0,6 |  휘몰아치는 파도와 아이들이 물을 튀기면서 노는 장면에서 오는 느낌이 빠른 템포가 어울릴 것 같음. ,7.0,7 |  비교적 어둡지 않은 배경에 활기찬 파도의 움직임과 아이들의 웃음 소리가 연상지어지기 때문에 높낮이는 높은 것이 어울릴 것 같음. ,7.0,7 |  오디오가 풍족한 것이 더 어울릴 것 같으므로 음악의 밀도는 너무 높지는 않지만 그래도 비교적 높은 것이 어울릴 것 같음. 
4,chanpig,A2,running,,,,,,,,,,,,
5,곤듀,A2,running,9.0,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",,"인물들의 상체 움직임, 바닷물의 저항을 이겨나고 나아가려는 하체, 밀려오는 파도",9.0,9 |  그림에서 전체적으로 역동적인 느낌이 들어 매우 빠름 템포가 어울리다고 생각함 ,9.0,9 |  그림에서 느껴지는 역동적인 느낌과 함께 인물들이 아이들임을 인지함에 따라 높은 스타일의 피치가 어울리다고 생각함.,8.0,"8 |  그림 상의 인물들이 아이들이며, 바닷물의 저항을 뚫고 겨우겨우 앞으로 나아가는 장면이 연상되기 때문에 매우 분주하거나 힘차다는 느낌은 들지 않음.  따라서 어느정도의 밀도는 있으나 샘플상의 매우 높은 밀도까지는 아니다고 생각함"
6,이인애,A2,running,7.0,,,"[열B] colB,[열D] colD,[열C] colC",,선의표현,6.0,6,7.0,7,7.0,7
7,고고,A2,running,7.0,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",달리는모습,7.0,7,7.0,7,7.0,7
8,경,A2,running,9.0,,"[열D] colD,[열C] colC,[열B] colB","[열D] colD,[열C] colC,[열B] colB",,"물 속에서 달리고 있는 아이들의 모습, 파도를 통해 역동성이 잘 드러남.",9.0,9 |  달리고 있는 역동성을 드러내기에 적합함.,8.0,8 |  아이들의 밝은 움직임을 드러내기에 적합함.,8.0,8 |  달리는 아이들과 파도의 복합적인 역동성을 잘 드러냄.
9,yoni,A2,running,7.0,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열B] colB,[열D] colD",그림속 인물의 연령대,8.0,8,8.0,8,2.0,2
