,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
0,나비,A1,running,8,"[0, 0, 0, 0]","[1, 1, 0, 1]","[1, 1, 0, 1]","[0, 0, 0, 0]",뛰어다닌는듯한 동작 -- 액션을 일부러 취하는 행동 ~ 움직임이 많음 + 파도의 모양,9.0,9,6.0,6,9.0,9,
1,rub,A1,running,9,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 0]",The waves and the running legs are really dynamic,5.0,5 |  I think for me in general sunset ( or sunrise) + waves make me feel relaxing,4.0,4 |  Should be a pith that makes people feel comfortable,6.0,"6 |  even it should be relaxing for be based on the reasons above, but the kids also make me feel like it should be not ""quiet""",
2,Daisy,A1,running,9,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",There are three people running at the center of the picture. The waves and clouds should be moving.,5.0,"5 |  The beach looks peaceful to me. Also, for the people who can enjoy playing and swimming at the beach at sunset, the overall atmosphere is supposed to be calming.",7.0,"7 |  People are having fun, and the color scheme of the overall painting is warm.",5.0,5 |  The scene looks peaceful and calming.,
3,Doky,A1,running,5,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 0, 1]","[0, 0, 0, 0]",어린 아이들의 천진난만함(뛰어다니는 움직임)과 바닷가의 파도가 역동적인 움직임을 연상케 함. ,5.0,5 |  너무 빠르지도 않고 느리지도 않은 템포가 어울릴 것 같음. 풍경적으로도 그렇고 평화롭고 순진한 아이들이 장난치며 뛰어다니는 보통의 템포가 연상됨.,3.0,3 |  그림의 색채가 해가 지고 있을 때로 보여 비교적 어두움. 따라서 음악의 높낮이도 너무 밝은 것보다 잔잔하게 낮은 높낮이가 어울릴 것 같음.,1.0,1 |  아이들이 지는 석양 아래에서 뛰어가는 평화로운 느낌이기 때문에 음악의 밀도는 자연스럽게 낮은 것이 어울릴 것 같음.,
4,chanpig,A1,running,8,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",달리면서 옷이 날리고 파도가 치는것,7.0,7 |  달리면 좀 빨라야할것만같은 느낌 ,7.0,7 |  신나보임,6.0,6 |  아이들이라 그렇게 무겁지않은 느낌,
5,곤듀,A1,running,7,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","사람들의 시선, 몸의 방향과 파도에서 역동성이 느껴지나 노을과 같은 색감으로 하늘을 표현한 부분에서 다소 차분함이 뭍어남",8.0,"8 |  그림은 석양이 드리운 해변에서 아이들이 즐겁게 뛰어노는 장면이 연상 됨.  샘플상의 보통, 매우빠름은 확실히 아니며, 보통 - 매우빠름 사이에서 빠름쪽에 조금더 치우친 템포가 어울리다고 생각함 ",8.0,8 |  그림에서 아이들이 뛰어노는 장면이 눈에 가장 먼저 들어오기 때문에 다소 높은 피치가 어울리다고 생각됨,7.0,"7 |  여전히 메인은 아이들임. 샘플의 매우 높은 밀도는 확실히 아니며, 보통 - 매우 높은 밀도 사이에서 보통에 조금더 치우친 음의 밀도가 어울린다고 생각함",
6,이인애,A1,running,9,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",짙은색감 흔들림의표현,8.0,8,7.0,7,5.0,5,
7,고고,A1,running,7,"[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]",달리는모습,7.0,7,7.0,7,7.0,7,
8,경,A1,running,10,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",달리는 아이들의 움직임과 파도의 움직임이 잘 느껴짐.,1.0,10 |  달리는 아이들의 가벼운 움직임과 밝은 분위기를 잘 드러냄.,6.0,"6 |  샘플에서 보통의 음높이가 충분히 높다고 느껴짐, 밝은 분위기와 아이들의 가벼운 움직임이 잘 드러남.",6.0,6 |  아이들의 순수함과 맑은 분위기를 잘 드러냄. 복잡하지 않은 움직임을 잘 드러냄.,
9,yoni,A1,running,8,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","색감, 인물의 자세",5.0,5 |  인물들의 자세 및 움직임은 활동적이지만 배경의 느낌이(색감) 차분하기에 중간,7.0,7 |  인물의 전체적인 모습이 웃고있는것으로 느껴짐,7.0,7 |  뛰고있다는 느낌이라서,
10,밍경댕,A1,running,10,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",아이들의 뛰는 모습과 웃는 얼굴 또 앞에 달리는 아이의 시선이 역동적으로 느껴지게 만듬.,2.0,2 |  급박한 움직임이 아니라 평화로운 움직임으로 보여 차분한 음악이 더 잘 어울릴 것으로 예상됨.,7.0,7 |  아이들의 천진난만함을 표현하기 위해 좀 높은 음의 음악이 그려짐,2.0,2 |  아이라는 속성이 밀도가 낮음과 가깝다고 생각해 낮음 음의 음악이 잘 어울림.,
11,배뀽,A1,running,7,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 0, 1]","[0, 1, 0, 0]",사람이 뛰고 있음 ,5.0,5 |  일상적인 느낌,8.0,8 |  어린 애들이 있어서 활발한 느낌,5.0,5 |  일상의 여유로움,
12,미지,A1,running,8,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",거친 파도와 달리는 아이들의 모습이 역동적인 느낌을 줌,7.0,7 | 파도가 밀려오는 속도만큼의 빠르기가 어울린다고 생각함 파도가 여러겹으로 연속적으로 치고있는 것으로 보이므로 약간 빠른 템포,5.0,5 | 무거운 파도소리와 가벼운 아이들의 소리가 합쳐진 보통의 높이,9.0,"9 | 연속적인 파도소리와 아이들의 뛰는소리, 웃음소리 등이 밀도높은 음악으로 표현될 수 있음",
13,boldmas,A1,running,9,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",The children running as well as the sea waves.,4.0,"4 | To represent a lively, yet, peaceful feeling.",5.0,"5 | There seems to be a balance between the running children and the waves plus the darker shades of the sunset. There seems to be a bittersweet, nostalgic feeling.",1.0,"1 | This is a very happy, yet relaxing moment that is about to end by nightfall. The day is about to end and the sparse music represent relaxation and sleep after a day of playfulness.",
14,Seong Ho,A1,running,10,"[0,0,0,0]","[0,1,1,0]","[1,1,1,1]","[0,0,0,0]","달리는 아이들, 거센 파도",8.0,  달리는 느낌을 표현 담을 수 있어서,4.0,  평온한 느낌이 들었으면 함. 높으면 정신 사나움.,10.0,  달리는 아이와 파도가 같이 빠르게 표현되려면 Density 가 높아야 할 것 같음.,따뜻함.
