,nickname,sod_a1,sod_a2,element_pose,element_color,element_light,element_stroke,element_style,elemet_add,detail_poseSize,detail_arms,detail_inclination,detail_effort,detail_face,detail_activity,detail_number,detail_location,detail_humanColor,detail_bgColor
0,Seong Ho,0,8,5,1,2,4,3,사람 또는 오브젝트의 수. Background 대비 Foreground 면적 비율.,5,5,4,5,1,5,4,1,1,1
1,5e67524094c67a000a04ca8e,3,4,5,3,3,2,4,"I think the feeling of depth in the styles, the simpler photos I felt were less dynamic than more of the realistic ones, so I guess this would fit slightly under artwork styles.",4,4,5,4,3,3,4,4,1,4
2,6400dc9af341e8a575a457f6,2,1,5,4,2,3,2,nan,3,5,3,5,1,2,3,3,4,4
3,5e4875f3110b3730eefa32a1,2,4,5,5,4,1,5,nan,4,4,4,2,3,4,1,1,4,5
4,5e909d9ac9ce2503b2650797,0,1,4,2,2,1,1,nan,4,4,3,4,3,4,2,2,1,1
5,5fc00a11268eb941e7d8b066,8,2,5,4,3,3,2,nan,4,4,3,5,5,3,3,2,4,4
6,5b295f60bbd4880001117976,2,4,4,3,3,2,3,nan,4,4,5,4,3,4,4,3,3,3
7,630100561dc47fd83f5b4745,3,7,5,1,1,1,5,No I can't think of anything else. ,5,5,2,5,3,3,5,3,1,1
8,5f7959d0b6791155e6932dd1,6,3,4,3,3,3,3,"The sense of movement is what, for me, had the most impact in the picture.",4,4,3,3,4,3,3,2,2,2
9,5967e9a831394d0001abdb3f,1,3,5,3,3,2,2,"Intent of movement, rather than actual movement",5,5,4,4,3,4,3,3,2,2
10,657421f9661ce9a8cd7482d1,8,8,5,4,4,5,5,nan,5,3,3,4,4,4,3,4,3,5
11,5e56590389b924000c184113,2,3,5,5,5,5,4,Emotions of the figures depicted - joyful or pain for example.,5,5,4,4,5,5,4,4,3,4
12,65c4bfbc22bc351322c66e32,6,6,2,4,4,4,5,nan,3,4,2,4,4,3,2,4,3,5
13,63f77942d3cad20e65a411a9,1,3,3,4,4,2,4,nan,4,4,4,5,3,4,4,3,3,4
14,5c584d2040378900013b6fb9,1,3,4,2,2,1,2,the subject matter and emotion,4,4,4,4,2,3,3,2,1,1
15,613e454dca2db9fcef1f8e8d,1,7,5,2,3,3,1,nan,5,5,3,4,3,5,2,3,2,2
