,Your Prolific ID,Artwork Number,Question Type,Survey Column,Actual Sound,User Answer,Artwork Dynamism,Comment
0,1004,P2,Harmony,Sound A,Sound C,5,4,
1,1004,P2,Harmony,Sound B,Sound F,3,4,
2,1004,P2,Harmony,Sound C,Sound B,1,4,
3,1004,P2,Harmony,Sound D,Sound A,1,4,
4,1004,P2,Dynamism,Sound A,Sound C,5,4,
5,1004,P2,Dynamism,Sound B,Sound F,3,4,
6,1004,P2,Dynamism,Sound C,Sound B,2,4,
7,1004,P2,Dynamism,Sound D,Sound A,2,4,
8,1004,P2,Quality,Sound A,Sound C,5,4,
9,1004,P2,Quality,Sound B,Sound F,3,4,
10,1004,P2,Quality,Sound C,Sound B,1,4,
11,1004,P2,Quality,Sound D,Sound A,1,4,
12,1004,P8,Harmony,Sound A,Sound B,4,2,
13,1004,P8,Harmony,Sound B,Sound A,1,2,
14,1004,P8,Harmony,Sound C,Sound F,3,2,
15,1004,P8,Harmony,Sound D,Sound C,5,2,
16,1004,P8,Dynamism,Sound A,Sound B,4,2,
17,1004,P8,Dynamism,Sound B,Sound A,1,2,
18,1004,P8,Dynamism,Sound C,Sound F,3,2,
19,1004,P8,Dynamism,Sound D,Sound C,5,2,
20,1004,P8,Quality,Sound A,Sound B,1,2,
21,1004,P8,Quality,Sound B,Sound A,1,2,
22,1004,P8,Quality,Sound C,Sound F,3,2,
23,1004,P8,Quality,Sound D,Sound C,4,2,
24,1004,P4,Harmony,Sound A,Sound C,4,5,
25,1004,P4,Harmony,Sound B,Sound B,3,5,
26,1004,P4,Harmony,Sound C,Sound A,1,5,
27,1004,P4,Harmony,Sound D,Sound F,3,5,
28,1004,P4,Dynamism,Sound A,Sound C,5,5,
29,1004,P4,Dynamism,Sound B,Sound B,4,5,
30,1004,P4,Dynamism,Sound C,Sound A,3,5,
31,1004,P4,Dynamism,Sound D,Sound F,3,5,
32,1004,P4,Quality,Sound A,Sound C,5,5,
33,1004,P4,Quality,Sound B,Sound B,1,5,
34,1004,P4,Quality,Sound C,Sound A,1,5,
35,1004,P4,Quality,Sound D,Sound F,3,5,
36,1004,P10,Harmony,Sound A,Sound B,3,2,
37,1004,P10,Harmony,Sound B,Sound C,4,2,
38,1004,P10,Harmony,Sound C,Sound A,4,2,
39,1004,P10,Harmony,Sound D,Sound F,3,2,
40,1004,P10,Dynamism,Sound A,Sound B,4,2,
41,1004,P10,Dynamism,Sound B,Sound C,5,2,
42,1004,P10,Dynamism,Sound C,Sound A,2,2,
43,1004,P10,Dynamism,Sound D,Sound F,3,2,
44,1004,P10,Quality,Sound A,Sound B,2,2,
45,1004,P10,Quality,Sound B,Sound C,5,2,
46,1004,P10,Quality,Sound C,Sound A,2,2,
47,1004,P10,Quality,Sound D,Sound F,3,2,
48,1004,P5,Harmony,Sound A,Sound B,3,5,
49,1004,P5,Harmony,Sound B,Sound C,5,5,
50,1004,P5,Harmony,Sound C,Sound F,3,5,
51,1004,P5,Harmony,Sound D,Sound A,2,5,
52,1004,P5,Dynamism,Sound A,Sound B,4,5,
53,1004,P5,Dynamism,Sound B,Sound C,5,5,
54,1004,P5,Dynamism,Sound C,Sound F,3,5,
55,1004,P5,Dynamism,Sound D,Sound A,3,5,
56,1004,P5,Quality,Sound A,Sound B,2,5,
57,1004,P5,Quality,Sound B,Sound C,4,5,
58,1004,P5,Quality,Sound C,Sound F,3,5,
59,1004,P5,Quality,Sound D,Sound A,2,5,
60,1004,P6,Harmony,Sound A,Sound B,3,5,
61,1004,P6,Harmony,Sound B,Sound F,3,5,
62,1004,P6,Harmony,Sound C,Sound C,5,5,
63,1004,P6,Harmony,Sound D,Sound A,2,5,
64,1004,P6,Dynamism,Sound A,Sound B,4,5,
65,1004,P6,Dynamism,Sound B,Sound F,3,5,
66,1004,P6,Dynamism,Sound C,Sound C,5,5,
67,1004,P6,Dynamism,Sound D,Sound A,1,5,
68,1004,P6,Quality,Sound A,Sound B,1,5,
69,1004,P6,Quality,Sound B,Sound F,3,5,
70,1004,P6,Quality,Sound C,Sound C,5,5,
71,1004,P6,Quality,Sound D,Sound A,1,5,
72,1004,P11,Harmony,Sound A,Sound B,2,2,
73,1004,P11,Harmony,Sound B,Sound F,3,2,
74,1004,P11,Harmony,Sound C,Sound C,4,2,
75,1004,P11,Harmony,Sound D,Sound A,1,2,
76,1004,P11,Dynamism,Sound A,Sound B,2,2,
77,1004,P11,Dynamism,Sound B,Sound F,3,2,
78,1004,P11,Dynamism,Sound C,Sound C,5,2,
79,1004,P11,Dynamism,Sound D,Sound A,1,2,
80,1004,P11,Quality,Sound A,Sound B,2,2,
81,1004,P11,Quality,Sound B,Sound F,3,2,
82,1004,P11,Quality,Sound C,Sound C,5,2,
83,1004,P11,Quality,Sound D,Sound A,1,2,
84,1004,P3,Harmony,Sound A,Sound A,1,5,
85,1004,P3,Harmony,Sound B,Sound C,5,5,
86,1004,P3,Harmony,Sound C,Sound F,3,5,
87,1004,P3,Harmony,Sound D,Sound B,3,5,
88,1004,P3,Dynamism,Sound A,Sound A,2,5,
89,1004,P3,Dynamism,Sound B,Sound C,5,5,
90,1004,P3,Dynamism,Sound C,Sound F,3,5,
91,1004,P3,Dynamism,Sound D,Sound B,4,5,
92,1004,P3,Quality,Sound A,Sound A,1,5,
93,1004,P3,Quality,Sound B,Sound C,5,5,
94,1004,P3,Quality,Sound C,Sound F,3,5,
95,1004,P3,Quality,Sound D,Sound B,2,5,
96,1004,P1,Harmony,Sound A,Sound C,5,5,
97,1004,P1,Harmony,Sound B,Sound B,3,5,
98,1004,P1,Harmony,Sound C,Sound F,3,5,
99,1004,P1,Harmony,Sound D,Sound A,2,5,
100,1004,P1,Dynamism,Sound A,Sound C,5,5,
101,1004,P1,Dynamism,Sound B,Sound B,4,5,
102,1004,P1,Dynamism,Sound C,Sound F,3,5,
103,1004,P1,Dynamism,Sound D,Sound A,1,5,
104,1004,P1,Quality,Sound A,Sound C,5,5,
105,1004,P1,Quality,Sound B,Sound B,2,5,
106,1004,P1,Quality,Sound C,Sound F,3,5,
107,1004,P1,Quality,Sound D,Sound A,1,5,
108,1004,P12,Harmony,Sound A,Sound B,4,1,
109,1004,P12,Harmony,Sound B,Sound A,1,1,
110,1004,P12,Harmony,Sound C,Sound C,5,1,
111,1004,P12,Harmony,Sound D,Sound F,3,1,
112,1004,P12,Dynamism,Sound A,Sound B,2,1,
113,1004,P12,Dynamism,Sound B,Sound A,1,1,
114,1004,P12,Dynamism,Sound C,Sound C,5,1,
115,1004,P12,Dynamism,Sound D,Sound F,3,1,
116,1004,P12,Quality,Sound A,Sound B,1,1,
117,1004,P12,Quality,Sound B,Sound A,1,1,
118,1004,P12,Quality,Sound C,Sound C,4,1,
119,1004,P12,Quality,Sound D,Sound F,3,1,
120,1004,P7,Harmony,Sound A,Sound C,5,2,
121,1004,P7,Harmony,Sound B,Sound B,1,2,
122,1004,P7,Harmony,Sound C,Sound A,4,2,
123,1004,P7,Harmony,Sound D,Sound F,3,2,
124,1004,P7,Dynamism,Sound A,Sound C,5,2,
125,1004,P7,Dynamism,Sound B,Sound B,1,2,
126,1004,P7,Dynamism,Sound C,Sound A,4,2,
127,1004,P7,Dynamism,Sound D,Sound F,3,2,
128,1004,P7,Quality,Sound A,Sound C,5,2,
129,1004,P7,Quality,Sound B,Sound B,1,2,
130,1004,P7,Quality,Sound C,Sound A,1,2,
131,1004,P7,Quality,Sound D,Sound F,3,2,
132,1004,P9,Harmony,Sound A,Sound B,2,1,
133,1004,P9,Harmony,Sound B,Sound F,3,1,
134,1004,P9,Harmony,Sound C,Sound C,5,1,
135,1004,P9,Harmony,Sound D,Sound A,1,1,
136,1004,P9,Dynamism,Sound A,Sound B,1,1,
137,1004,P9,Dynamism,Sound B,Sound F,3,1,
138,1004,P9,Dynamism,Sound C,Sound C,5,1,
139,1004,P9,Dynamism,Sound D,Sound A,1,1,
140,1004,P9,Quality,Sound A,Sound B,1,1,
141,1004,P9,Quality,Sound B,Sound F,3,1,
142,1004,P9,Quality,Sound C,Sound C,5,1,
143,1004,P9,Quality,Sound D,Sound A,1,1,
