,respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,"Explanation and ConsentBefore starting the survey, please read this guideline and explanation document carefully. If you are willing to participate, please mark two checkboxes below.",Unnamed: 10,Your Prolific ID,Year of Birth (4 digits),Sex,How much do you enjoy seeing artworks?,How often do you appreciate art in your life?
0,,,,,,,,,,"Hereby I mark this box, I confirm that I read the research guideline and explanation document, understood the purpose of this study, and am willing to participate in this survey.",I understand that I can freely withdraw my participation during the course of the research.,Open-Ended Response,Open-Ended Response,Response,Response,Response
1,114670000000.0,432305548.0,2024-08-26 22:02:44,2024-08-26 23:39:18,31.205.103.111,,,,,1,2,1,2003,2,4,4
2,114670000000.0,432305548.0,2024-08-26 21:55:46,2024-08-26 23:26:04,45.194.101.216,,,,,1,2,2,1995,2,4,5
3,114670000000.0,432305548.0,2024-08-26 21:56:44,2024-08-26 23:04:48,90.214.238.254,,,,,1,2,3,1994,1,3,3
4,114670000000.0,432305548.0,2024-08-26 22:19:03,2024-08-26 22:59:05,2.30.133.146,,,,,1,2,4,2006,2,5,4
5,114670000000.0,432305548.0,2024-08-26 22:12:56,2024-08-26 22:47:29,72.201.18.236,,,,,1,2,5,1969,1,4,4
6,114670000000.0,432305548.0,2024-08-26 21:55:32,2024-08-26 22:44:35,31.52.111.43,,,,,1,2,6,1974,2,5,4
7,114670000000.0,432305548.0,2024-08-26 21:55:25,2024-08-26 22:43:46,5.64.199.172,,,,,1,2,7,1986,1,3,3
8,114670000000.0,432305548.0,2024-08-26 21:56:01,2024-08-26 22:37:49,80.4.230.99,,,,,1,2,8,1974,2,3,4
9,114670000000.0,432305548.0,2024-08-26 21:56:15,2024-08-26 22:33:12,86.181.36.149,,,,,1,2,9,1987,2,3,3
10,114670000000.0,432305548.0,2024-08-26 21:56:08,2024-08-26 22:32:55,51.191.156.105,,,,,1,2,10,2001,2,3,3
11,114670000000.0,432305548.0,2024-08-26 20:06:53,2024-08-26 21:57:42,2.99.36.240,,,,,1,2,11,2000,1,3,4
12,114670000000.0,432305548.0,2024-08-26 20:08:21,2024-08-26 21:20:17,82.46.131.162,,,,,1,2,12,1990,1,4,4
13,114670000000.0,432305548.0,2024-08-26 20:18:34,2024-08-26 21:12:05,216.39.227.86,,,,,1,2,13,2000,2,5,4
14,114670000000.0,432305548.0,2024-08-26 20:06:55,2024-08-26 20:57:01,31.94.11.30,,,,,1,2,14,1989,2,3,3
15,114670000000.0,432305548.0,2024-08-26 20:07:05,2024-08-26 20:48:05,84.71.170.119,,,,,1,2,15,1998,2,3,3
16,114670000000.0,432305548.0,2024-08-26 20:05:31,2024-08-26 20:47:42,80.47.174.206,,,,,1,2,16,2003,1,5,5
17,114670000000.0,432305548.0,2024-08-26 20:06:21,2024-08-26 20:43:10,84.66.150.81,,,,,1,2,17,1984,1,1,1
18,114670000000.0,432305548.0,2024-08-26 20:06:52,2024-08-26 20:36:22,94.3.187.115,,,,,1,2,18,2002,1,4,5
19,114670000000.0,432305548.0,2024-08-26 20:05:26,2024-08-26 20:33:10,90.200.246.156,,,,,1,2,19,1993,2,2,2
20,114670000000.0,432305548.0,2024-08-26 20:06:26,2024-08-26 20:30:05,185.254.150.102,,,,,1,2,20,1991,2,3,2
21,114670000000.0,432305548.0,2024-08-26 17:02:43,2024-08-26 19:49:36,104.218.199.253,,,,,1,2,21,1973,1,5,5
22,114670000000.0,432305548.0,2024-08-26 17:02:40,2024-08-26 19:31:16,64.79.248.173,,,,,1,2,22,1972,1,5,5
23,114670000000.0,432305548.0,2024-08-26 17:01:32,2024-08-26 19:06:47,172.84.188.130,,,,,1,2,23,1965,2,4,4
24,114670000000.0,432305548.0,2024-08-26 16:59:28,2024-08-26 18:43:21,163.5.128.204,,,,,1,2,24,1965,2,4,4
25,114670000000.0,432305548.0,2024-08-26 17:24:27,2024-08-26 18:22:32,86.129.14.226,,,,,1,2,25,1991,2,3,3
26,114670000000.0,432305548.0,2024-08-26 16:53:46,2024-08-26 18:00:54,204.242.0.66,,,,,1,2,26,1972,1,5,5
27,114670000000.0,432305548.0,2024-08-26 16:55:32,2024-08-26 17:37:16,90.211.129.130,,,,,1,2,27,1961,1,4,3
28,114670000000.0,432305548.0,2024-08-26 16:56:10,2024-08-26 17:37:14,78.105.172.25,,,,,1,2,28,1991,1,5,5
29,114670000000.0,432305548.0,2024-08-26 16:52:34,2024-08-26 17:34:12,216.120.189.117,,,,,1,2,29,1994,2,4,4
30,114670000000.0,432305548.0,45530.70458,45530.72954,94.14.237.118,,,,,1,2,30,1992,1,4,4
