,Your Prolific ID,Artwork Number,Question Type,Survey Column,Actual Sound,User Answer,Artwork Dynamism,Comment
0,1,P2,Harmony,Sound A,Sound C,5,4,
1,1,P2,Harmony,Sound B,Sound F,3,4,
2,1,P2,Harmony,Sound C,Sound B,2,4,
3,1,P2,Harmony,Sound D,Sound A,2,4,
4,1,P2,Dynamism,Sound A,Sound C,5,4,
5,1,P2,Dynamism,Sound B,Sound F,3,4,
6,1,P2,Dynamism,Sound C,Sound B,3,4,
7,1,P2,Dynamism,Sound D,Sound A,2,4,
8,1,P2,Quality,Sound A,Sound C,5,4,
9,1,P2,Quality,Sound B,Sound F,3,4,
10,1,P2,Quality,Sound C,Sound B,1,4,
11,1,P2,Quality,Sound D,Sound A,1,4,
12,1,P8,Harmony,Sound A,Sound B,1,2,
13,1,P8,Harmony,Sound B,Sound A,2,2,
14,1,P8,Harmony,Sound C,Sound F,3,2,
15,1,P8,Harmony,Sound D,Sound C,4,2,
16,1,P8,Dynamism,Sound A,Sound B,4,2,
17,1,P8,Dynamism,Sound B,Sound A,1,2,
18,1,P8,Dynamism,Sound C,Sound F,3,2,
19,1,P8,Dynamism,Sound D,Sound C,4,2,
20,1,P8,Quality,Sound A,Sound B,1,2,
21,1,P8,Quality,Sound B,Sound A,1,2,
22,1,P8,Quality,Sound C,Sound F,3,2,
23,1,P8,Quality,Sound D,Sound C,4,2,
24,1,P4,Harmony,Sound A,Sound C,5,4,
25,1,P4,Harmony,Sound B,Sound B,3,4,
26,1,P4,Harmony,Sound C,Sound A,2,4,
27,1,P4,Harmony,Sound D,Sound F,3,4,
28,1,P4,Dynamism,Sound A,Sound C,5,4,
29,1,P4,Dynamism,Sound B,Sound B,5,4,
30,1,P4,Dynamism,Sound C,Sound A,2,4,
31,1,P4,Dynamism,Sound D,Sound F,3,4,
32,1,P4,Quality,Sound A,Sound C,4,4,
33,1,P4,Quality,Sound B,Sound B,1,4,
34,1,P4,Quality,Sound C,Sound A,2,4,
35,1,P4,Quality,Sound D,Sound F,3,4,
